EMP_ID,CURRENT_EMP_YN,AGE,TENURE_DAYS,IS_LEAVER,AGE_AT_HIRING,TENURE_TO_AGE_RATIO,PRIOR_CAREER_DAYS,NUM_PRIOR_COMPANIES,PRIOR_CAREER_RELEVANCE_RATIO,AVG_TENURE_PER_COMPANY,IS_STEM_MAJOR,NUM_DEP_CHANGES,AVG_DEP_TENURE_DAYS,DAYS_SINCE_LAST_DEP_CHANGE,NUM_PROMOTIONS,AVG_PROMOTION_SPEED_DAYS,DAYS_SINCE_LAST_PROMOTION,PROMOTION_RATE,NUM_PROJECTS,AVG_PROJECT_DURATION,LATEST_TOTAL_PAY,PAY_YEAR,AVG_YOY_GROWTH,AVG_VARIABLE_PAY_RATIO,TOTAL_EXPERIENCE_YEARS,LATEST_EVAL_SCORE,AVG_EVAL_SCORE,EVAL_SCORE_STDDEV,EVAL_SCORE_TREND,EVAL_SCORE_1Y,EVAL_SCORE_2Y,AVG_OVERTIME_MINUTES,AVG_NIGHT_WORK_MINUTES,OVERTIME_1Y,OVERTIME_2Y,TOTAL_LEAVE_DAYS,SICK_LEAVE_RATIO,AVG_LEAVE_TERM,TOTAL_ABSENCE_DAYS,NUM_ABSENCES,GENDER_M,NATIONALITY_Other,HIGHEST_DEGREE_박사,HIGHEST_DEGREE_석사,HIGHEST_DEGREE_전문학사,HIGHEST_DEGREE_학사,FINAL_MAJOR_CATEGORY_Unknown,FINAL_MAJOR_CATEGORY_기타,FINAL_MAJOR_CATEGORY_기타공학계열,FINAL_MAJOR_CATEGORY_디자인계열,FINAL_MAJOR_CATEGORY_사회과학계열,FINAL_MAJOR_CATEGORY_상경계열,FINAL_MAJOR_CATEGORY_어문계열,FINAL_MAJOR_CATEGORY_인문계열,FINAL_MAJOR_CATEGORY_자연과학계열,FINAL_SCHOOL_LEVEL_1.0,FINAL_SCHOOL_LEVEL_2.0,FINAL_SCHOOL_LEVEL_3.0,FINAL_SCHOOL_LEVEL_4.0,LATEST_TITLE_INFO_Member,SALARY_LEVEL_VS_EXPERIENCE_중,SALARY_LEVEL_VS_EXPERIENCE_하,LATEST_DIVISION_NAME_Operating Division,LATEST_DIVISION_NAME_Planning Division,LATEST_DIVISION_NAME_Sales Division,LATEST_OFFICE_NAME_Engineering Office,LATEST_OFFICE_NAME_Finance Office,LATEST_OFFICE_NAME_Global Sales Office,LATEST_OFFICE_NAME_Marketing Office,LATEST_OFFICE_NAME_Production Office,LATEST_OFFICE_NAME_QA Office,LATEST_OFFICE_NAME_R&D Office,LATEST_OFFICE_NAME_Strategy Office,LATEST_JOB_L1_NAME_Management Support,LATEST_JOB_L1_NAME_Planning,LATEST_JOB_L1_NAME_Production & Engineering,LATEST_JOB_L1_NAME_Sales & Marketing,LATEST_JOB_L2_NAME_Data Scientist,LATEST_JOB_L2_NAME_Engineering,LATEST_JOB_L2_NAME_Finance,LATEST_JOB_L2_NAME_HR,LATEST_JOB_L2_NAME_Infrastructure,LATEST_JOB_L2_NAME_Marketing,LATEST_JOB_L2_NAME_Production Management,LATEST_JOB_L2_NAME_SW Developer,LATEST_JOB_L2_NAME_Sales,LATEST_POSITION_NAME_Director,LATEST_POSITION_NAME_Manager,LATEST_POSITION_NAME_Staff
E00001,N,44,2063,1,32.46543463381246,0.12836786758758012,817.0,3.0,0.3333333333333333,272.3333333333333,0.0,1,2062.0,4278,1.0,1054.0,3269.0,0.1770479883664566,0.0,0.0,0.0,Unknown,0.0,0.0,7.885010266940451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
E00002,Y,28,2016,0,23.06365503080082,0.1971252566735113,0.0,0.0,0.0,0.0,0.0,3,671.3333333333334,1078,0.0,0.0,0.0,0.0,0.0,0.0,80736735.0,2025,9.916666666666666,20.505,5.519507186858316,53.38,49.742222222222225,7.132225770714528,-2.366910412235063,53.38,49.01333333333333,11.636003956478733,1.4609297725024728,8.511111111111111,8.988950276243093,105.0,0.0380952380952381,0.8823529411764706,0.0,0.0,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
E00003,Y,44,1409,0,40.75564681724846,0.08767344906975297,1870.0,2.0,0.0,935.0,0.0,2,704.0,713,1.0,347.0,347.0,0.2592264017033357,0.0,0.0,80488233.0,2025,8.57,25.182499999999997,8.97741273100616,99.35,73.85000000000001,21.129591414254403,14.84712786289384,99.35,94.20333333333333,20.6431654676259,0.0,30.247191011235955,29.441340782122904,66.0,0.030303030303030304,0.8918918918918919,0.0,0.0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
E00004,Y,31,282,0,30.94318959616701,0.02490561038616944,409.0,1.0,1.0,409.0,1.0,1,282.0,282,0.0,0.0,0.0,0.0,0.0,0.0,46610502.43333334,2025,0.0,16.75,1.891854893908282,54.0,54.0,0.0,0.0,54.0,54.0,9.02158273381295,0.0,9.02158273381295,9.02158273381295,14.0,0.0,0.9333333333333333,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
E00005,N,40,1150,1,29.927446954141,0.07871321013004791,0.0,0.0,0.0,0.0,0.0,2,447.25,3453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,3.1485284052019167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
E00006,N,39,3289,1,25.467488021902806,0.23089208304814055,182.0,1.0,1.0,182.0,0.0,3,821.5,3910,1.0,1958.0,3635.0,0.11105199148677411,0.0,0.0,27332875.0,2021,-6.445,6.69,9.503080082135524,52.3,52.3,0.0,0.0,0.0,0.0,98.61776061776062,16.907335907335906,0.0,0.0,34.0,0.0,0.85,0.0,0.0,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
E00007,N,32,1434,1,22.9596167008898,0.12268993839835729,1789.0,3.0,0.0,596.3333333333334,0.0,2,716.0,2996,1.0,378.0,2358.0,0.2547071129707113,0.0,0.0,35977268.0,2020,0.0,0.0,8.824093086926762,0.0,0.0,0.0,0.0,0.0,0.0,-17.647727272727273,17.5,0.0,0.0,15.0,0.06666666666666667,0.7894736842105263,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
E00008,Y,44,2400,0,38.0041067761807,0.14933731566175099,2951.0,3.0,0.0,983.6666666666666,0.0,1,1831.5,1553,2.0,630.5,347.0,0.304375,0.0,0.0,111567153.0,2025,7.406666666666667,23.180000000000003,14.650239561943874,51.74,66.21666666666667,19.2050566257952,-1.9938404803552396,51.74,64.00333333333333,32.061705989110706,2.0499092558983665,25.936416184971097,26.980716253443525,102.5,0.03902439024390244,0.8991228070175439,0.0,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00009,N,38,2439,1,24.960985626283367,0.1757267913109262,0.0,0.0,0.0,0.0,0.0,3,812.0,3727,1.0,857.0,3269.0,0.1497539975399754,0.0,0.0,0.0,Unknown,0.0,0.0,6.677618069815195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
E00010,Y,32,932,0,30.069815195071868,0.07973990417522245,1762.0,3.0,0.3333333333333333,587.3333333333334,0.0,1,932.0,932,0.0,0.0,0.0,0.0,0.0,0.0,75663125.0,2025,5.27,23.19,7.3757700205338805,72.34,70.672,21.296523659977932,16.645016620837513,72.34,84.74666666666667,31.504310344827587,0.0,35.379120879120876,31.851752021563343,47.5,0.0,0.8962264150943396,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
